label,lat,lon
"Pueblo, CO",38.2544472,-104.609141
"Des Moines, NM",36.7633643,-103.8331418
"Roswell, NM",34.93867,-104.6824893
"Midland, TX",31.9973,-102.0779
"DFW Airport, TX",32.8998,-97.0403
"Stillwater, OK",36.1156,-97.0584
"Independence, KS",37.2242,-95.7083
"Omaha, NE",41.2565,-95.9345
"Cheyenne, WY",41.14,-104.8202
